file	child_name	creature_name	desc	waypoints_m	cycle_seconds	phase_seconds	meet_radius_m
creature_01.png	권🌿진	토끼	긴 귀를 세우고 잔디 사이를 깡충깡충 돌며 작은 발자국을 남겨요.	3.6,-0.4|8.4,0.6|5.8,3.6|4,1.7	3600	0	12
creature_02.png	김🌟인	샤샤핑	반짝이는 마음을 모아 친구들에게 용기를 나누어 주는 분홍빛 요정이에요.	2.1,2.9|3.6,7.6|-0.2,6.8|0.5,4.3|1.8,5.7	4200	997	12
creature_03.png	김✨언	왕자핑	작은 왕관처럼 빛나는 마음으로 공원 길을 멋지게 지켜요.	-1.5,3.3|-4.7,6.9|-6,3.3|-3.4,2.6	4800	1994	12
creature_04.png	김🚀건	장난그림자	검은 망토를 펄럭이며 숨어 있다가 장난스러운 웃음을 남기는 그림자 친구예요.	-3.6,0.4|-8.4,-0.6|-5.8,-3.6|-4,-1.7|-5.9,-1.3	5400	2991	12
creature_05.png	김🌸	도마뱀	초록 꼬리를 살랑이며 따뜻한 돌길을 좋아하는 작은 탐험가예요.	-2.1,-2.9|-3.6,-7.6|0.2,-6.8|-0.5,-4.3	6000	3988	12
creature_06.png	김🌸헌	타란튤라	여러 다리로 천천히 원을 그리며 숨은 길을 찾아내는 조용한 수호자예요.	1.5,-3.3|4.7,-6.9|6,-3.3|3.4,-2.6|4.1,-4.4	6600	4985	12
creature_07.png	김💫우	쿠루미	보랏빛 귀를 흔들며 살짝 새침하게 나타나는 밤 산책 친구예요.	8.9,2.3|13.9,5.2|10.4,7.7|8.6,5.3	7200	5982	12
creature_08.png	김🍀진	마이멜로디	분홍 두건을 쓰고 꽃향기를 따라 부드럽게 걸어 다녀요.	5.9,7.1|8.2,12.3|3.9,12.4|3.8,9.3|5.7,10.5	7800	6979	12
creature_09.png	김⭐우	토마스	칙칙폭폭 소리를 내며 길 위의 친구들을 차례차례 찾아가는 파란 기관차예요.	0.6,9.2|-0.6,14.8|-4.1,12.3|-2.4,9.8	8400	7976	12
creature_10.png	김🌙원	A카멜레온	초록 몸을 살짝 흔들며 주변 색을 상상 속 무늬로 바꾸는 변신 친구예요.	-4.9,7.8|-9.2,11.6|-10.6,7.5|-7.6,6.5|-8.3,8.7	9000	8973	12
creature_11.png	김🌙원	마음사자	커다란 갈기 안에 용기를 숨기고 있다가 친구가 다가오면 따뜻하게 웃어요.	-8.5,3.4|-14.3,4|-13,-0.1|-10,0.8	9600	370	12
creature_12.png	문🌊운	케로케로케로피	초록 얼굴로 통통 튀며 물가 근처를 좋아하는 개구쟁이 친구예요.	-8.9,-2.3|-13.9,-5.2|-10.4,-7.7|-8.6,-5.3|-10.8,-5.2	10200	767	12
creature_13.png	문🌈이	숲속공주	푸른 드레스를 살랑이며 조용한 나무 그늘을 따라 산책해요.	-5.9,-7.1|-8.2,-12.3|-3.9,-12.4|-3.8,-9.3	10800	1164	12
creature_14.png	배✨	매미	나뭇잎 사이에 숨어 작은 여름 노래를 반복해서 들려줘요.	-0.6,-9.2|0.6,-14.8|4.1,-12.3|2.4,-9.8|1.6,-11.9	3600	2161	12
creature_15.png	소🛸우	호랑이	주황 줄무늬를 번쩍이며 씩씩하게 숲길을 순찰하는 친구예요.	4.9,-7.8|9.2,-11.6|10.6,-7.5|7.6,-6.5	4200	1358	12
creature_16.png	손🌷신	하트날개요정	분홍 날개와 하트 더듬이를 가진 요정. 기분이 좋아지면 하트빛을 반짝여요.	8.5,-3.4|14.3,-4|13,0.1|10,-0.8|11.8,-2.2	4800	555	12
creature_17.png	우🌼은	백설공주	노란 치마를 살짝 잡고 꽃길을 따라 조심조심 걸어 다녀요.	12.7,6.8|16.2,10.3|12.9,12|11.6,9.7	5400	5152	12
creature_18.png	유💧나	카피바라	느긋한 표정으로 천천히 움직이며 주변을 편안하게 만드는 친구예요.	8.8,11.4|10.7,16|6.9,16.2|6.7,13.6|8.5,14.5	6000	4949	12
creature_19.png	이🌿다	퐁퐁푸린	노란 모자를 쓴 듯 포근하게 웃으며 작은 원을 둥글게 돌아요.	3.4,14|3.2,18.9|-0.3,17.6|0.6,15.1	6600	4746	12
creature_20.png	이🌻예	꽃지팡이요정	꽃 지팡이를 들고 작은 꽃길을 만드는 요정. 지나간 자리에 새싹이 돋아요.	-2.5,14.2|-4.7,18.6|-7.5,16|-5.6,14|-5.1,16	7200	4543	12
creature_21.png	이✨지	하츄핑	분홍 하트를 품고 톡톡 튀며 친구를 발견하면 반갑게 손짓해요.	-8.1,11.9|-11.9,15.1|-13.3,11.6|-10.8,10.6	7800	4340	12
creature_22.png	이🌙호	시나몰	하얀 귀를 바람처럼 펼치고 하늘하늘 공원 위를 떠다니는 친구예요.	-12.2,7.6|-17,8.9|-16.9,5.1|-14.2,5.2|-15.3,6.9	8400	4137	12
creature_23.png	이🚀현	햇살나비	노란 날개를 활짝 펴고 웃음을 나누는 햇살빛 나비 친구예요.	-14.3,2|-19.2,1.3|-17.5,-2.2|-15.1,-1	9000	3934	12
creature_24.png	이🍀채	파란꽃요정	파란 날개와 꽃 지팡이를 가진 요정. 조용히 다가와 꽃잎 바람을 일으켜요.	-13.8,-4|-18,-6.7|-15.1,-9.1|-13.4,-7|-15.4,-6.7	9600	3731	12
creature_25.png	이🌸연	나나핑	동그란 미소를 띠고 반짝이는 장식을 따라 빙글빙글 움직여요.	-11,-9.3|-13.7,-13.4|-10.1,-14.5|-9.4,-11.9	10200	3528	12
creature_26.png	임🍀✨이	포차코	두 팔을 번쩍 들고 공원 길을 씩씩하게 산책하는 노란 멜빵 친구예요.	-6.3,-13|-7.1,-17.8|-3.3,-17.3|-3.7,-14.7|-5.3,-15.9	10800	3325	12
creature_27.png	임🌟준	바나클대장	회색 모자를 눌러쓰고 탐험대를 이끌듯 당당하게 길을 돌아다녀요.	-0.5,-14.4|0.8,-19.2|4,-17.2|2.5,-14.9	3600	722	12
creature_28.png	정🌷아	물방울꽃요정	커다란 파란 물방울을 들고 다니며 목마른 꽃들에게 물을 나눠줘요.	5.4,-13.3|8.5,-17.2|10.6,-14.1|8.4,-12.6|8.3,-14.6	4200	1719	12
creature_29.png	조💫령	키티	리본을 단정히 매고 작은 걸음으로 친구를 만나러 오는 다정한 친구예요.	10.4,-10|14.8,-12.3|15.4,-8.5|12.8,-8.1	4800	3916	12
